organization,portal_url,eap_scope_index,ssids,eap_methods,anonymous_identity_state,anonymous_identity_values,outer_identity_state,outer_identity_values,server_validation,server_names,source_url,evidence_id
University of Washington,https://cloud.securew2.com/public/67017/eduroam-tls/,1,eduroam,TLS,configured,anonymous@uw.edu,absent,,true,radius.uw.edu,https://cloud.securew2.com/public/67017/eduroam-tls/android/SecureW2.cloudconfig,b103033de931c184
Vanderbilt University,https://cloud.securew2.com/public/66268/vuNet-Eduroam-TLS-Prod/,1,vuNet,TLS,absent,,absent,,true,vu-cppm-radius-int.it.vanderbilt.edu,https://cloud.securew2.com/public/66268/vuNet-Eduroam-TLS-Prod/android/SecureW2.cloudconfig,ab9f0779499c72ab
Vanderbilt University,https://cloud.securew2.com/public/66268/vuNet-Eduroam-TLS-Prod/,2,eduroam,TLS,absent,,absent,,true,vu-cppm-radius-int.it.vanderbilt.edu,https://cloud.securew2.com/public/66268/vuNet-Eduroam-TLS-Prod/android/SecureW2.cloudconfig,ab9f0779499c72ab
University of Illinois Urbana-Champaign,https://cloud.securew2.com/public/56437/IllinoisNet-Eduroam-TLS/,1,IllinoisNet,TLS,absent,,absent,,true,wireless.illinois.edu,https://cloud.securew2.com/public/56437/IllinoisNet-Eduroam-TLS/android/SecureW2.cloudconfig,2b375b6b546cb81f
University of Illinois Urbana-Champaign,https://cloud.securew2.com/public/56437/IllinoisNet-Eduroam-TLS/,2,eduroam,TLS,absent,,absent,,true,wireless.illinois.edu,https://cloud.securew2.com/public/56437/IllinoisNet-Eduroam-TLS/android/SecureW2.cloudconfig,2b375b6b546cb81f
Stony Brook University,https://cloud.securew2.com/public/21070/eduroam-TLS/,1,eduroam,TLS,absent,,absent,,true,loki.noc.stonybrook.edu,https://cloud.securew2.com/public/21070/eduroam-TLS/android/SecureW2.cloudconfig,51b4468415a4aa73
Minnesota State Community and Technical College,https://cloud.securew2.com/public/32753/SFLAN/,1,SFLAN,TTLS,absent,,absent,,false,,https://cloud.securew2.com/public/32753/SFLAN/android/SecureW2.cloudconfig,973e5bfbf2c811c1
Worcester Polytechnic Institute,https://cloud.securew2.com/public/03418/WPI_Secure_Wireless_Profile/,1,WPI-Wireless,TLS,absent,,absent,,true,netops-radius-server.wpi.edu,https://cloud.securew2.com/public/03418/WPI_Secure_Wireless_Profile/android/SecureW2.cloudconfig,e1ecc22bf254763c
Worcester Polytechnic Institute,https://cloud.securew2.com/public/03418/WPI_Secure_Wireless_Profile/,2,eduroam,TLS,absent,,absent,,true,netops-radius-server.wpi.edu,https://cloud.securew2.com/public/03418/WPI_Secure_Wireless_Profile/android/SecureW2.cloudconfig,e1ecc22bf254763c
Central New Mexico Community College,https://cloud.securew2.com/public/34107/BYOD_tls_Azure/,1,CNM_TLS,TLS,absent,,absent,,true,*.securew2.com,https://cloud.securew2.com/public/34107/BYOD_tls_Azure/android/SecureW2.cloudconfig,cd1e27cf6e9ea105
Salisbury University,https://cloud.securew2.com/public/13917/Salisbury_University_Owned_Devices/,1,SU-Secure,PEAP,absent,,absent,,true,*.salisbury.edu,https://cloud.securew2.com/public/13917/Salisbury_University_Owned_Devices/android/SecureW2.cloudconfig,4751ec8875d1e33e
Central New Mexico Community College,https://cloud.securew2.com/public/34107/BYOD_tls/,1,CNM_TLS,TLS,absent,,absent,,true,*.securew2.com,https://cloud.securew2.com/public/34107/BYOD_tls/android/SecureW2.cloudconfig,80c4f566336f7e36
Rochester Institute of Technology,https://cloud.securew2.com/public/46836/eduroam/,1,eduroam,TLS,absent,,absent,,true,radius.rit.edu,https://cloud.securew2.com/public/46836/eduroam/android/SecureW2.cloudconfig,51e324b3c1713133
UCL University College,https://cloud.securew2.com/public/56113/UCL-eduroam/,1,eduroam,TLS,absent,,absent,,true,access.ucl.dk,https://cloud.securew2.com/public/56113/UCL-eduroam/android/SecureW2.cloudconfig,88c609494914fb87
Valdosta State University,https://cloud.securew2.com/public/79364/eduroam/,1,eduroam,TLS,absent,,absent,,true,clearpass.valdosta.edu,https://cloud.securew2.com/public/79364/eduroam/android/SecureW2.cloudconfig,d4b58231b512a66b
