organization,organization_domain,country_code,country_basis,country_source,higher_education,evidence_id
University of Oregon,uoregon.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://uoregon.edu/,True,91e3d50f54b6d497
North Carolina State University,ncsu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ncsu.edu/,True,f36d1cb87a1f2988
Purdue University,purdue.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://purdue.edu/,True,b10566c60efa8cea
University of Kent,kent.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://kent.ac.uk/,True,7836cf3e02551d61
Florida Gulf Coast University,fgcu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fgcu.edu/,True,ed51e4a0ec2d6706
Liberty University,liberty.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://liberty.edu/,True,30fff0d83a918e78
University of Pennsylvania,upenn.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://upenn.edu/,True,da423926a825b8ad
Michigan State University,msu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://msu.edu/,True,770f47c05a44bc71
Texas A&M University,tamu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://tamu.edu/,True,543e9c64be38fa65
Snow College,snow.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://snow.edu/,True,de051231c60a028d
Florida Southern College,flsouthern.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://flsouthern.edu/,True,c32596a5ab938cff
Heriot-Watt University,hw.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://hw.ac.uk/,True,a759b2a9374d0676
University of Southern Queensland,usq.edu.au,AU,Institution home country / corporate headquarters; not the location of every access point,https://usq.edu.au/,True,eb354e476c5eb0a0
University of Colorado Boulder,colorado.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://colorado.edu/,True,aa12014c9cfca11a
Minnesota State Community and Technical College,minnesota.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://minnesota.edu/,True,ec6e504d8a24e70b
Leeds Trinity University,leedstrinity.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://leedstrinity.ac.uk/,True,33658e4210f99e22
Purdue University,purdue.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://purdue.edu/,True,cbb3f79887ed85db
Purdue University,purdue.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://purdue.edu/,True,01556337d83eaeea
University of Nevada Las Vegas,unlv.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://unlv.edu/,True,eede0bd1157cf6d8
University of Dayton,udayton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://udayton.edu/,True,8e6fe82ba187a4a1
SIUE,siue.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://siue.edu/,True,8f84eacd61ea390d
Deakin University,deakin.edu.au,AU,Institution home country / corporate headquarters; not the location of every access point,https://deakin.edu.au/,True,1694ec1a8e9e89cc
Edith Cowan University,ecu.edu.au,AU,Institution home country / corporate headquarters; not the location of every access point,https://ecu.edu.au/,True,ea7e7ade327b7b84
University of Pennsylvania,upenn.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://upenn.edu/,True,a49cb5f8afd3c38a
Salisbury University,salisbury.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://salisbury.edu/,True,abfaad5613f29daf
Pennsylvania State University,psu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://psu.edu/,True,1f6c3f156e063f6c
Winona State University,winona.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://winona.edu/,True,3cf1b9408a2edc6b
Utah Valley University,uvu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://uvu.edu/,True,4015e92a404b3b82
La Trobe University,latrobe.edu.au,AU,Institution home country / corporate headquarters; not the location of every access point,https://latrobe.edu.au/,True,bca0460388ea55e3
California State University Sacramento,csus.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://csus.edu/,True,d0c79b3f5acbdb4a
Illinois State University,illinoisstate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://illinoisstate.edu/,True,6dea8502c3b89a42
Princeton University,princeton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://princeton.edu/,True,f1507e4c920d26fc
Algonquin College,algonquincollege.com,CA,Institution home country / corporate headquarters; not the location of every access point,https://www.algonquincollege.com/ro/contact-us/,True,f435c73e78733351
Angelo State University,angelo.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://angelo.edu/,True,bf743b143a998d63
Harvard University,harvard.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://harvard.edu/,True,973b760a1e2f7003
Christopher Newport University,cnu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cnu.edu/,True,80d1f1e807e5c746
Utah State University,usu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://usu.edu/,True,6b468045e97e23a9
Universiteit van Amsterdam,uva.nl,NL,Institution home country / corporate headquarters; not the location of every access point,https://uva.nl/,True,21be12158c75cfd6
Binghamton University,binghamton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://binghamton.edu/,True,bd6b2dbe2dbf74f8
University of San Francisco,usfca.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://usfca.edu/,True,5976dc218ae730c2
Queens University Belfast,qub.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://qub.ac.uk/,True,6bad363a371214ff
University of Chicago,uchicago.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://uchicago.edu/,True,da317390ae01e42c
California State University Fullerton,fullerton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fullerton.edu/,True,4707ab86974d3790
University of Florida,ufl.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ufl.edu/,True,9f9bfc268487ec63
University of Notre Dame,nd.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://nd.edu/,True,3a7e3f9c120c66a0
University of Minnesota Duluth,d.umn.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://d.umn.edu/,True,afab6615b6341cdc
University of Notre Dame,nd.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://nd.edu/,True,3c3bda169eb9dfc1
Metropolitan State University of Denver,msudenver.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://msudenver.edu/,True,45513fe93f605507
Capital University,capital.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://capital.edu/,True,17633101afe3252b
University of Newcastle,newcastle.edu.au,AU,Institution home country / corporate headquarters; not the location of every access point,https://newcastle.edu.au/,True,4062e9bb580b8f31
Hogeschool van Amsterdam,hva.nl,NL,Institution home country / corporate headquarters; not the location of every access point,https://hva.nl/,True,479080a738ff3d13
University of Leeds,leeds.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://leeds.ac.uk/,True,bbc955fd73d7cf99
University of Guelph-Humber,guelphhumber.ca,CA,Institution home country / corporate headquarters; not the location of every access point,https://guelphhumber.ca/,True,8bdb1d2fcc34706e
University of Cologne,uni-koeln.de,DE,Institution home country / corporate headquarters; not the location of every access point,https://uni-koeln.de/,True,7c730e8b7f60a02b
California State University Fullerton,fullerton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fullerton.edu/,True,b69867a6559ffa93
University of Guelph,uoguelph.ca,CA,Institution home country / corporate headquarters; not the location of every access point,https://uoguelph.ca/,True,6e7296e2a6b32263
Capital University,capital.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://capital.edu/,True,de774e32937d84bb
Vrije Universiteit Amsterdam,vu.nl,NL,Institution home country / corporate headquarters; not the location of every access point,https://vu.nl/,True,731c3266b10e7a42
University of California - Santa Cruz,ucsc.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ucsc.edu/,True,084ea1f6549bd3d5
Victoria College,victoriacollege.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://victoriacollege.edu/,True,40059f52b9666cd5
Universidad de Almeria,ual.es,ES,Institution home country / corporate headquarters; not the location of every access point,https://ual.es/,True,aaf320cfc081255e
Nebraska Wesleyan University,nebrwesleyan.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://nebrwesleyan.edu/,True,674ec8c7b62926b4
Universidad de Almeria,ual.es,ES,Institution home country / corporate headquarters; not the location of every access point,https://ual.es/,True,4d43c628c0c19b1a
Rutgers University,rutgers.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://rutgers.edu/,True,1dc4102076bdcdde
Fachhochschule Südwestfalen,urmel.fh-swf.de,DE,Institution home country / corporate headquarters; not the location of every access point,https://urmel.fh-swf.de/,True,4935cce5c75e9ff4
Berklee College of Music,berklee.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://berklee.edu/,True,c1ce6dee45e83d13
Ghent University,ugent.be,BE,Institution home country / corporate headquarters; not the location of every access point,https://ugent.be/,True,44e0095619ec7933
North Dakota University System,ndus.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ndus.edu/,True,88f72202a00b8657
North Dakota University System,ndus.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ndus.edu/,True,bbfb47f8a9912342
University of Washington,uw.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://uw.edu/,True,b103033de931c184
Vanderbilt University,vanderbilt.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://vanderbilt.edu/,True,ab9f0779499c72ab
University of Illinois Urbana-Champaign,illinois.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://illinois.edu/,True,2b375b6b546cb81f
Stony Brook University,stonybrook.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://stonybrook.edu/,True,51b4468415a4aa73
Minnesota State Community and Technical College,minnesota.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://minnesota.edu/,True,973e5bfbf2c811c1
Worcester Polytechnic Institute,wpi.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://wpi.edu/,True,e1ecc22bf254763c
Central New Mexico Community College,cnm.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cnm.edu/,True,cd1e27cf6e9ea105
Salisbury University,salisbury.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://salisbury.edu/,True,4751ec8875d1e33e
Central New Mexico Community College,cnm.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cnm.edu/,True,80c4f566336f7e36
Rochester Institute of Technology,rit.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://rit.edu/,True,51e324b3c1713133
UCL University College,ucl.dk,DK,Institution home country / corporate headquarters; not the location of every access point,https://ucl.dk/,True,88c609494914fb87
Valdosta State University,valdosta.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://valdosta.edu/,True,d4b58231b512a66b
Indiana University,iu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://iu.edu/,True,c0a9007883cffd7d
University of Michigan Ann Arbor,umich.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://umich.edu/,True,6e6860cd60626e5c
Salt Lake Community College,slcc.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://slcc.edu/,True,b0ebe5571bdde23e
MiraCosta College,miracosta.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://miracosta.edu/,True,1d449b2650a83a44
University of Virginia,virginia.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://virginia.edu/,True,2ae463b8da7cf632
Marymount University,marymount.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://marymount.edu/,True,918f9b5be5d38018
East Carolina University,ecu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ecu.edu/,True,6692ce1456c3ca7f
University of North Carolina - Chapel Hill,unc.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://unc.edu/,True,bb31c8ce600b1634
Langara College,langara.ca,CA,Institution home country / corporate headquarters; not the location of every access point,https://langara.ca/,True,0495379e02a54cd8
California State University East Bay,csueastbay.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://csueastbay.edu/,True,c4857dadc9b4389e
Oregon State University,oregonstate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://oregonstate.edu/,True,acda169d909bba5c
DePaul University,depaul.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://depaul.edu/,True,34895d15787c0cf5
University of Kentucky,uky.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://uky.edu/,True,af5afeb1a17f4f54
Denison University,denison.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://denison.edu/,True,9136f0588c89a5ae
Technische Universitat Braunschweig,tu-braunschweig.de,DE,Institution home country / corporate headquarters; not the location of every access point,https://tu-braunschweig.de/,True,38ae848c7219103d
Xavier University,xavier.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://xavier.edu/,True,24b883c0536e4730
University of Colorado Boulder,colorado.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://colorado.edu/,True,366bc66c5457a337
Villanova University,villanova.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://villanova.edu/,True,f6b5741fbc685f92
Emory University,emory.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://emory.edu/,True,92b4504fda8bdca8
State College Area School District,scasd.org,US,Institution home country / corporate headquarters; not the location of every access point,https://scasd.org/,True,8cb42561478202c5
Capital University,capital.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://capital.edu/,True,b1bc31b9611f53ea
Irvine Valley College,ivc.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ivc.edu/,True,797ddb3f3a958a47
Grand Valley State University,gvsu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://gvsu.edu/,True,f893dafbfc4a525b
Limerick Institute of Technology,lit.ie,IE,Institution home country / corporate headquarters; not the location of every access point,https://lit.ie/,True,c2f50ca5eb5559d9
AMDA,amda.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://amda.edu/,True,563d14e95b9c39f1
California State University Fullerton,fullerton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fullerton.edu/,True,342267ccc4c13187
Irvine Valley College,ivc.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://ivc.edu/,True,bea13957bd4228f4
London School Of Hygiene & Tropical Medicine,lshtm.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://lshtm.ac.uk/,True,91b23a5f6abde7d2
Grand Valley State University,gvsu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://gvsu.edu/,True,ae0cfd41cc81db63
Stevens Institute of Technology,stevens.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://stevens.edu/,True,10e23259134524f1
Illinois State University,illinoisstate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://illinoisstate.edu/,True,8da847a17321e194
California State University Fullerton,fullerton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fullerton.edu/,True,9d3de33566f16d71
Pensacola State College,pensacolastate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://pensacolastate.edu/,True,796df6cb7bf55582
Southern Connecticut State University,southernct.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://southernct.edu/,True,aba8196ae76139dd
The University of the South,sewanee.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://sewanee.edu/,True,dd2d23008bac68da
Kutztown University,kutztown.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://kutztown.edu/,True,8ca92f7591eff311
Duke University,duke.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://duke.edu/,True,ababa95a6c4f46da
Stevens Institute of Technology,stevens.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://stevens.edu/,True,cf40a074729378dd
Stevens Institute of Technology,stevens.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://stevens.edu/,True,35b0c033c4f0b710
University of Michigan Flint,umflint.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://umflint.edu/,True,9eb00502872e807c
School of Visual Arts,sva.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://sva.edu/,True,d79ac667c0744328
University of Louisville,louisville.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://louisville.edu/,True,a9ffb5805f5b0edb
University of Nebraska,nebraska.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://nebraska.edu/,True,86e1a6758fde572c
Purdue University,purdue.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://purdue.edu/,True,ee669282e9ef7370
Boise State University,boisestate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://boisestate.edu/,True,8ebc1dc83858b102
Dixie State University,utahtech.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://utahtech.edu/,True,c99c67294d4c7939
Fordham University,fordham.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fordham.edu/,True,5643121f36bdf31a
Minnesota State University Mankato,mnsu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://mnsu.edu/,True,c2d140815a4b1805
California State University Chico,csuchico.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://csuchico.edu/,True,6ecac3e874193d75
Hochschule Bochum,hs-bochum.de,DE,Institution home country / corporate headquarters; not the location of every access point,https://hs-bochum.de/,True,fe0bdb94784392ec
Jacksonville State University,jsu.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://jsu.edu/,True,3773b545ae600071
Appalachian State University,appstate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://appstate.edu/,True,6de17f2c408b697e
University of Massachusetts Amherst,umass.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://umass.edu/,True,41c873493bab1f8a
Cascadia College,cascadia.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cascadia.edu/,True,ca7055605bfcab40
Griffith University,griffith.edu.au,AU,Institution home country / corporate headquarters; not the location of every access point,https://griffith.edu.au/,True,b04ab0f338624c02
Dartmouth College,dartmouth.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://dartmouth.edu/,True,d3d3521f70120aca
Dartmouth College,dartmouth.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://dartmouth.edu/,True,48f2ce42ccc39d30
University of Delaware,udel.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://udel.edu/,True,62d823c23d0016ed
Evangel University,evangel.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://evangel.edu/,True,3ca3747dc2465094
Augustana University,augie.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://augie.edu/,True,7e8db0222cef2890
Augustana College,augustana.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://augustana.edu/,True,fdbf4d2f825d5a90
Augustana College,augustana.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://augustana.edu/,True,528e3c3066f3dbd9
College of Charleston,cofc.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cofc.edu/,True,551528e82abf12dd
